赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话),来源URL,来源日期
商业航天,蓝箭航天,独角兽,科创板IPO已受理(2025-12 拟募资75亿元),北京,朱雀系列液氧甲烷运载火箭研制商 朱雀三号2025年12月首飞入轨(可重复使用),https://www.caixin.com/2026-01-01/102399417.html,2026-01
商业航天,天兵科技,独角兽,Pre-D轮和D轮合计近25亿元(2025-10),北京,天龙三号大型液体运载火箭(液氧煤油路线)研制商 天龙二号曾创民营液体火箭首飞成功纪录,https://news.pedaily.cn/202510/555633.shtml,2025-10
商业航天,星河动力,独角兽,D轮24亿元(2025-09) 2025-10启动上市辅导,北京,谷神星一号固体火箭(民营发射次数最多)与智神星可回收液体火箭研制商,https://eu.36kr.com/zh/p/3521533784185734,2025-10
商业航天,中科宇航,独角兽,IPO辅导验收(2026-01 中科院力学所孵化),广州,力箭系列中大型运载火箭研制商 力箭一号为国内运力最大固体运载火箭,https://finance.eastmoney.com/a/202601173622535445.html,2026-01
商业航天,星际荣耀,独角兽,D++轮50.37亿元(2026-02 创民营火箭单笔纪录),北京,双曲线系列运载火箭研制商 双曲线三号可回收液氧甲烷火箭计划2026年底首飞,https://news.pedaily.cn/202602/561040.shtml,2026-02
商业航天,银河航天,独角兽,启动A股上市 2026年2月完成新一轮融资,北京,低轨宽带通信卫星批量研制商(卫星互联网卫星制造),https://www.caixin.com/2026-03-31/102429425.html,2026-03
商业航天,长光卫星,独角兽,融资50亿元(2026-07)并重启IPO,长春,吉林一号商业遥感卫星星座的建设与运营主体(全产业链遥感卫星公司),https://www.guancha.cn/economy/2026_07_08_823045.shtml,2026-07
商业航天,垣信卫星,独角兽,新一轮融资50-60亿元(2025-10 投前估值400多亿元),上海,千帆星座(低轨卫星互联网)建设与运营主体 已进入常态化组网发射,https://www.guancha.cn/economy/2025_10_17_793687.shtml,2025-10
商业航天,中国卫星,A股,600118,北京,航天科技集团五院控股的小卫星/微小卫星研制与卫星应用上市平台(宇航制造+卫星应用),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600118&id=12038644,2026-03
商业航天,铖昌科技,A股,001270,杭州,微波毫米波相控阵T/R芯片龙头 星载和地面用卫星互联网T/R芯片全套方案已量产交付,http://yuanchuang.10jqka.com.cn/20260710/c678091574.shtml,2026-07
商业航天,超捷股份,A股,301005,上海,商业火箭箭体结构件制造商(壳段/整流罩/燃料贮箱/发动机阀门) 蓝箭朱雀三号尾段与整流罩核心供应商,http://static.cninfo.com.cn/finalpage/2025-06-25/1223982470.PDF,2025-06
商业航天,铂力特,A股,688333,西安,金属增材制造(3D打印)龙头 深度参与朱雀三号并为蓝箭/东方空间/九州云箭等打印发动机关键零部件,https://www.jiemian.com/article/13715966.html,2025-12
