赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话、具体到什么产品/环节),来源URL,来源日期
具身智能,杭州宇树科技股份有限公司,A股,688836(上交所科创板 2026年8月IPO),浙江杭州,人形及四足机器人整机龙头(A股"人形机器人第一股") 2026年8月以150.8元/股发行、募资约61亿元,https://www.163.com/dy/article/L3OJGKAU0556JUDB.html,2026-08
具身智能,深圳市优必选科技股份有限公司,港股,9880.HK,广东深圳,工业人形机器人整机(Walker S系列)批量进入汽车/3C工厂 2025年Walker系列订单总额达11亿元并于当年11月开启Walker S2量产交付,https://www.leaderobot.com/news/6757,2025-11
具身智能,上海智元新创技术有限公司(智元机器人),独角兽,B4轮(2025年 估值约150亿元),上海,人形机器人整机(远征/灵犀系列)与具身大模型 2025年四轮融资至B4轮并以21亿元控股A股上纬新材,https://view.inews.qq.com/a/20260104A06ANF00,2026-01
具身智能,北京银河通用机器人有限公司,独角兽,新一轮融资25亿元(2026年初 估值超200亿元),北京,具身大模型与轮式双臂机器人整机 累计融资额居中国具身智能领域首位、为人形机器人领域估值最高的未上市企业,https://m.caixin.com/m/2026-03-02/102418619.html,2026-03
具身智能,上海傅利叶智能科技有限公司(傅利叶Fourier),独角兽,E3轮(2025年 投前估值80亿元),上海,康复机器人起家的GRx系列人形机器人整机(GR-3主打交互陪伴) E系列融资合计近8亿元、上市公司润阳科技3亿元参与E3轮,https://www.cls.cn/detail/2042476,2025-05
具身智能,苏州绿的谐波传动科技股份有限公司,A股,688017,江苏苏州,谐波减速器国内头部企业(人形机器人旋转关节核心部件) 预计2025年归母净利润同比增超1倍,https://view.inews.qq.com/a/20260211A028TU00,2026-02
具身智能,浙江三花智能控制股份有限公司,A股,002050,浙江杭州,将仿生机器人机电执行器(关节总成)列为第三增长曲线 2024年1月公告投资不低于38亿元建设机器人执行器等零部件生产基地,https://www.jiemian.com/article/12326742.html,2025-02
具身智能,宁波拓普集团股份有限公司,A股,601689,浙江宁波,机器人执行器平台化布局(直线/旋转执行器、灵巧手电机、躯体结构件等) 2025年机器人执行器业务营收1359.12万元并与全球多家头部机器人厂商项目合作,http://news.10jqka.com.cn/field/20260601/677119191.shtml,2026-06
具身智能,深圳市汇川技术股份有限公司,A股,300124,广东深圳,伺服与运动控制龙头切入人形机器人核心零部件 2025年9月工博会正式展出七自由度仿生臂、行星关节执行器、直线执行器、无框力矩电机、行星滚柱丝杠,https://c.m.163.com/news/a/KE14OUST05568W0A.html,2025-11
具身智能,深圳市兆威机电股份有限公司,A股,003021,广东深圳,微型传动龙头做机器人灵巧手 推出20自由度直线电机直驱灵巧手(整手仅600g、指尖压力15N),https://m.gmw.cn/2026-01/08/content_1304295543.htm,2026-01
具身智能,奥比中光科技集团股份有限公司,A股,688322,广东深圳,3D视觉传感器("机器人之眼") 国内服务机器人3D传感器市占率超七成、2025年营收9.41亿元同比+66.66%,https://finance.sina.cn/stock/ssgs/2026-07-03/detail-inifpusq5593056.d.html,2026-07
