赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话，具体到什么产品/环节),来源URL,来源日期
生物制造,华恒生物,上市-上交所科创板,688639.SH,安徽合肥,合成生物平台:厌氧发酵法L-丙氨酸与L-缬氨酸全球市占率第一(中游发酵/下游氨基酸),https://hk.stockstar.com/IG2026050100013102.shtml,2026-05
生物制造,凯赛生物,上市-上交所科创板,688065.SH,上海,生物法长链二元酸年产销破10万吨、生物基聚酰胺龙头(下游生物基材料),http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688065&id=12168804,2026-04
生物制造,川宁生物,上市-深交所创业板,301301.SZ,新疆伊宁,抗生素中间体(硫氰酸红霉素/6-APA)龙头;合成生物项目投产红没药醇、麦角硫因等原料(中游发酵+下游原料),https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/0feb3fe0-25e9-4da0-9ee9-45ff71ec612b.PDF,2026-03
生物制造,华熙生物,上市-上交所科创板,688363.SH,山东济南,合成生物驱动的透明质酸全球龙头、生物活性物平台(下游医美/功能原料),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688363&id=12148106,2026-04
生物制造,梅花生物,上市-上交所主板,600873.SH,河北廊坊,赖氨酸、苏氨酸产能全球第一的大宗氨基酸发酵龙头(中游发酵/下游氨基酸),http://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260421/435bd7e03035482781446d591d78f6f5.PDF,2026-04
生物制造,金丹科技,上市-深交所创业板,300829.SZ,河南周口,乳酸行业龙头;7.5万吨聚乳酸(PLA)生物降解材料项目追加投资(下游生物基材料),https://finance.sina.com.cn/stock/aigc/tzxm/2026-02-13/doc-inhmsqpk2998827.shtml,2026-02
生物制造,蔚蓝生物,上市-上交所主板,603739.SH,山东青岛,工业酶制剂+微生态制剂(上游酶工具环节),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=603739&id=12186469,2026-04
生物制造,嘉必优,上市-上交所科创板,688089.SH,湖北武汉,以合成生物学细胞工厂生产ARA、DHA、燕窝酸等营养素(下游营养原料),https://stock.stockstar.com/RB2026042300051156.shtml,2026-04
生物制造,安琪酵母,上市-上交所主板,600298.SH,湖北宜昌,全球酵母龙头(2025年产量45.6万吨);与微构工场合资建成中国首条万吨级PHA产线(中游发酵/下游材料),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600298&id=12041292,2026-03
生物制造,蓝晶微生物(Bluepha),独角兽,B轮系列累计超13亿元(2021-2023),上海,PHA生物可降解材料头部企业;1.5万吨/年PHA产能获中美欧三地认证(上游菌株平台+下游材料),https://www.sohu.com/a/991596019_210667,2026-03
生物制造,弈柯莱生物,独角兽,D轮4.5亿元(2025-07国投聚力独家战投),上海,酶催化与合成生物平台(5万种实体酶库);国内首批实现HMOs、燕窝酸获批上市(上游酶催化+下游高附加值原料),http://finance.sina.com.cn/jjxw/2025-07-30/doc-infifepa8587705.shtml,2025-07
生物制造,微构工场(PhaBuilder),独角兽,A+轮3.59亿元(2023-02中石油昆仑资本领投),北京,清华团队"下一代工业生物技术"(嗜盐菌底盘、免灭菌开放发酵);与安琪合资万吨级PHA产线(上游底盘细胞+下游材料),https://kw.beijing.gov.cn/ztzl/2026zgclt/2026zgcltwdlt/2026zgcltcgfb/202604/t20260402_4572965.html,2026-04
绿色氢能,隆基绿能,上市-上交所主板,601012.SH,陕西西安,子公司隆基氢能为碱性电解槽头部厂商(2025年订单约248MW);注资挪威HydrogenPro(制氢装备),https://m.ofweek.com/hydrogen/2026-01/ART-180824-8420-30679254.html,2026-01
绿色氢能,阳光电源,上市-深交所创业板,300274.SZ,安徽合肥,子公司阳光氢能"碱性+PEM"双路线电解槽2025年订单433.7MW居行业第一;出海阿曼、巴拉圭绿氨项目(制氢装备),https://m.ofweek.com/hydrogen/2026-01/ART-180824-8420-30679254.html,2026-01
绿色氢能,双良节能,上市-上交所主板,600481.SH,江苏江阴,自研5000Nm3/h全球最大单体碱性电解槽;截至2025年9月绿电制氢订单约6.1亿元(制氢装备),https://static.cninfo.com.cn/finalpage/2025-11-01/1224780460.PDF,2025-10
绿色氢能,华电科工(原华电重工),上市-上交所主板,601226.SH,北京,央企制氢装备一体化:自研"华臻"3300Nm3/h碱性槽+"华瀚"PEM槽;签署调兵山风电制氢耦合绿色甲醇8.15亿元合同(制氢装备+项目),https://h2.solarbe.com/news/20251226/50015599.html,2025-12
