赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话、具体到什么产品/环节),来源URL,来源日期
高端医疗器械,迈瑞医疗,A股上市,300760.SZ,广东深圳,"医疗器械综合龙头:生命信息与支持(监护仪/呼吸机)、体外诊断、医学影像三大产线,2025年营收332.8亿元、国际业务占比53%",https://wallstreetcn.com/articles/3768782,2026-03
高端医疗器械,联影医疗,A股上市,688271.SH,上海,"高端医学影像设备龙头:MR/CT/PET-CT全线布局,2025年营收138亿元、中国首款光子计数能谱CT获批打破GPS垄断",https://www.cls.cn/detail/2360390,2026-04
高端医疗器械,华大智造,A股上市,688114.SH,广东深圳,"基因测序仪国产龙头:高通量测序仪打破Illumina垄断,2025年营收27.8亿元、新增测序仪销售超1470台覆盖110多国,亏损收窄63%",https://www.sohu.com/a/1023635074_115377,2026-05
高端医疗器械,惠泰医疗,A股上市,688617.SH,广东深圳,"电生理与血管介入高值耗材龙头:三维电生理设备及PFA导管/冠脉通路,2025年电生理收入5.7亿元同比增29.8%、全年PFA手术近6000例","https://guba.eastmoney.com/news,920019,1687446954.html",2026-03
高端医疗器械,心脉医疗,A股上市,688016.SH,上海,"主动脉介入器械龙头:胸/腹主动脉覆膜支架,2025年营收13.51亿元同比增12%、海外收入增长56%占比升至19%",https://m.cls.cn/detail/2297979,2026-02
高端医疗器械,新产业,A股上市,300832.SZ,广东深圳,"化学发光免疫诊断(IVD)龙头:全自动化学发光仪及配套试剂,2025年小分子夹心法试剂收入同比增75%、海外市场持续推进",http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300832&id=12222528,2026-04
高端医疗器械,澳华内镜,A股上市,688212.SH,上海,"国产软性内窥镜代表:4K超高清软性内窥镜系统切入消化内镜高端市场(2025年年报披露)",https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688212&id=12281040,2026-04
高端医疗器械,微创机器人,港股上市,02252.HK,上海,"腔镜手术机器人:图迈腔镜手术机器人全球商业化订单超300台,2025年营收5.51亿元同比增114%,完成全球第200台商业化装机",https://hk.stockstar.com/IG2026070300017513.shtml,2026-07
高端医疗器械,精锋医疗,港股上市,02675.HK,广东深圳,"多孔+单孔腔镜手术机器人:中国首家同时推进两类腔镜机器人商业化企业,2026年1月8日港股上市募资12亿港元、市值破200亿",https://www.sznews.com/news/content/2026-01/09/content_31897787.htm,2026-01
高端医疗器械,天智航,A股上市,688277.SH,北京,"骨科手术机器人第一股:天玑骨科机器人覆盖脊柱/创伤/关节,2025年手术量超4.9万例、国内骨科手术机器人市占率超40%排名第一",https://stock.10jqka.com.cn/20260731/c678583029.shtml,2026-07
高端医疗器械,术锐股份,独角兽(科创板IPO已问询),2025-12完成1亿美元D轮(正心谷领投)/投后估值约48亿元,北京,"国内首款获批单孔腔镜手术机器人(SR-ENS-600):源于上海交大对偶连续体机构技术,2026年7月科创板IPO审核状态变更为已问询、拟募资7亿元",https://finance.ifeng.com/c/8vTDX5NzPkW,2026-08
