赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话、具体到什么产品/环节),来源URL,来源日期
低空装备,亿航智能,美股,Nasdaq: EH,广州,EH216-S无人驾驶载人eVTOL整机(全球首个集齐TC/PC/AC/OC的载人eVTOL)、覆盖低空载人交通与低空文旅消费,https://www.zqdb.com.cn/xinwen/2026/show-1260875.html,2026-04
低空装备,小鹏汇天,独角兽,B轮(2.5亿美元、2025年;2026年1月传已保密递表港交所),广州,"陆地航母"分体式飞行汽车整机、广州黄埔量产工厂2025年11月试产下线并规划万辆级年产能,https://finance.sina.com.cn/jjxw/2026-01-26/doc-inhircnv9338558.shtml,2026-01
低空装备,峰飞航空,独角兽,战略融资(数亿美元、2024年、宁德时代战投),上海,V2000CG凯瑞鸥为全球首个获颁适航三证(TC/PC/AC)的吨级以上eVTOL、货运已交付且载人版盛世龙适航推进中,http://www.bkeconomy.com/detail-1753161279129689.html,2025-07
低空装备,沃飞长空,独角兽,D轮(近10亿元、2026年2月),成都,吉利科技集团旗下AE200倾转旋翼载人eVTOL整机、2026年4月已启动科创板IPO辅导,https://www.cls.cn/detail/2334618,2026-04
低空装备,大疆,未上市(头部独角兽),—(创始人内部信称暂无上市计划),深圳,全球消费级/工业级无人机整机龙头(全球无人机市场份额约70%、商用市场超90%)、飞控电机电调等核心部件全栈自研,https://m.thepaper.cn/newsDetail_forward_31988330,2025-11
低空装备,中无人机,A股,688297,成都,翼龙系列大型固定翼长航时无人机系统整机(覆盖10公斤级至6吨级全谱系)、2025年营收30.16亿元同比增长340%,https://cfi.cn/newspage.aspx?id=20260317001205&client=phone,2026-03
低空装备,纵横股份,A股,688070,成都,垂直起降固定翼工业无人机整机龙头、2025年度全球无人机上市公司市值Top4中唯一中国企业,https://sichuan.scol.com.cn/tfrm/202601/83199258.html,2026-01
低空装备,航天彩虹,A股,002389,浙江台州,彩虹系列大中型察打一体无人机整机及配套射手系列空地导弹、无人机及相关产品占收入约63%,https://data.eastmoney.com/notices/detail/002389/AN202603261820774178.html,2026-03
低空装备,万丰奥威,A股,002085,浙江新昌,旗下万丰钻石飞机为全球固定翼通航整机领跑者、整合Volocopter资产推进电动飞机与eVTOL研发(通航整机+eVTOL双轮),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=002085&id=12263856,2026-04
低空装备,宗申动力,A股,001696,重庆,控股子公司宗申航发为稀缺民营航空发动机企业、为旋翼/固定翼通航飞机及无人机配套航空活塞发动机(航空动力环节),https://static.cninfo.com.cn/finalpage/2026-04-23/1225148036.PDF,2026-04
低空装备,中信海直,A股,000099,深圳,国内规模最大的通用航空运营企业、直升机海上石油服务/应急救援/低空游览及中大型无人机运营(低空运营服务环节),https://m.10jqka.com.cn/20260326/c675566974.shtml,2026-03
低空装备,莱斯信息,A股,688631,南京,中国电科28所旗下民航空管系统龙头、低空空管与低空飞行服务保障系统(发布"天牧M20"省市低空飞行管理服务系统),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688631&id=12193202,2026-04
高端医疗器械,迈瑞医疗,A股上市,300760.SZ,广东深圳,"医疗器械综合龙头:生命信息与支持(监护仪/呼吸机)、体外诊断、医学影像三大产线,2025年营收332.8亿元、国际业务占比53%",https://wallstreetcn.com/articles/3768782,2026-03
高端医疗器械,联影医疗,A股上市,688271.SH,上海,"高端医学影像设备龙头:MR/CT/PET-CT全线布局,2025年营收138亿元、中国首款光子计数能谱CT获批打破GPS垄断",https://www.cls.cn/detail/2360390,2026-04
高端医疗器械,华大智造,A股上市,688114.SH,广东深圳,"基因测序仪国产龙头:高通量测序仪打破Illumina垄断,2025年营收27.8亿元、新增测序仪销售超1470台覆盖110多国,亏损收窄63%",https://www.sohu.com/a/1023635074_115377,2026-05
高端医疗器械,惠泰医疗,A股上市,688617.SH,广东深圳,"电生理与血管介入高值耗材龙头:三维电生理设备及PFA导管/冠脉通路,2025年电生理收入5.7亿元同比增29.8%、全年PFA手术近6000例","https://guba.eastmoney.com/news,920019,1687446954.html",2026-03
高端医疗器械,心脉医疗,A股上市,688016.SH,上海,"主动脉介入器械龙头:胸/腹主动脉覆膜支架,2025年营收13.51亿元同比增12%、海外收入增长56%占比升至19%",https://m.cls.cn/detail/2297979,2026-02
高端医疗器械,新产业,A股上市,300832.SZ,广东深圳,"化学发光免疫诊断(IVD)龙头:全自动化学发光仪及配套试剂,2025年小分子夹心法试剂收入同比增75%、海外市场持续推进",http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=300832&id=12222528,2026-04
高端医疗器械,澳华内镜,A股上市,688212.SH,上海,"国产软性内窥镜代表:4K超高清软性内窥镜系统切入消化内镜高端市场(2025年年报披露)",https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688212&id=12281040,2026-04
高端医疗器械,微创机器人,港股上市,02252.HK,上海,"腔镜手术机器人:图迈腔镜手术机器人全球商业化订单超300台,2025年营收5.51亿元同比增114%,完成全球第200台商业化装机",https://hk.stockstar.com/IG2026070300017513.shtml,2026-07
高端医疗器械,精锋医疗,港股上市,02675.HK,广东深圳,"多孔+单孔腔镜手术机器人:中国首家同时推进两类腔镜机器人商业化企业,2026年1月8日港股上市募资12亿港元、市值破200亿",https://www.sznews.com/news/content/2026-01/09/content_31897787.htm,2026-01
高端医疗器械,天智航,A股上市,688277.SH,北京,"骨科手术机器人第一股:天玑骨科机器人覆盖脊柱/创伤/关节,2025年手术量超4.9万例、国内骨科手术机器人市占率超40%排名第一",https://stock.10jqka.com.cn/20260731/c678583029.shtml,2026-07
高端医疗器械,术锐股份,独角兽(科创板IPO已问询),2025-12完成1亿美元D轮(正心谷领投)/投后估值约48亿元,北京,"国内首款获批单孔腔镜手术机器人(SR-ENS-600):源于上海交大对偶连续体机构技术,2026年7月科创板IPO审核状态变更为已问询、拟募资7亿元",https://finance.ifeng.com/c/8vTDX5NzPkW,2026-08
国产大飞机,中国商飞,未上市(央企),—,上海,C919大型客机主制造商(2025年交付15架 2026年目标28架以上) 另运营C909并研制C929宽体机,https://www.ithome.com/0/916/655.htm,2026-01
国产大飞机,中航西飞,A股,000768,西安,C919最大机体结构供应商 承担外翼翼盒/襟翼/缝翼等工作包 2025年部件交付量大幅增加,https://companies.caixin.com/2025-05-18/102320861.html,2025-05
国产大飞机,洪都航空,A股,600316,南昌,通过参股洪都商飞承担C919前机身和中后机身装配制造 配套份额约占机体结构25%,https://stock.stockstar.com/RB2026052400000352.shtml,2026-05
国产大飞机,中航沈飞,A股,600760,沈阳,旗下沈飞民机生产C919垂直尾翼和后机身等关键机体部件(装配自动化产线已投产),http://mp.weixin.qq.com/s?__biz=MjM5MzExMzQwMg==&mid=2650360338&idx=1&sn=888f64ac37f69b1f23cae360dfd01cb4,2025-07
国产大飞机,三角防务,A股,300775,西安,C919大型模锻件核心供应商(400MN模锻线) 并在上海临港设子公司承接大飞机零部件部段装配,https://finance.sina.com.cn/roll/2025-04-20/doc-inetvies9571216.shtml,2025-04
国产大飞机,航发动力,A股,600893,西安,承担长江系列(CJ-1000)国产商用发动机部分单元体和零部件配套研制任务,http://m.10jqka.com.cn/20250610/c668786540.shtml,2025-06
国产大飞机,中航光电,A股,002179,洛阳,C919连接器/线缆组件/集成设备架等互连产品配套 并在CJ-1000A上配套控制系统电缆与耐高温连接器,https://www.sohu.com/a/877995660_122362512,2025-04
国产大飞机,西部超导,A股,688122,西安,高端钛合金与高性能高温合金龙头 材料主要用于航空领域(大飞机机体与发动机用钛材主力供应商),https://stock.stockstar.com/SS2026080500021144.shtml,2026-08
国产大飞机,中复神鹰,A股,688295,连云港,碳纤维龙头 T800级碳纤维获商飞PCD预批准并正在国产大飞机开展部件级验证,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688295&id=12018874,2026-03
国产大飞机,博云新材,A股,002297,长沙,与霍尼韦尔合资供应C919机轮刹车系统 自研C919碳刹车盘完成一致性批产放行试验,https://static.cninfo.com.cn/finalpage/2026-04-10/1225089551.PDF,2026-04
集成电路,中芯国际,A+H上市,688981.SH/00981.HK,上海,"大陆晶圆代工龙头:覆盖先进制程与成熟制程代工,2025年营收93.27亿美元创历史新高、晶圆出货量同比增20.9%",https://wallstreetcn.com/articles/3768471,2026-03
集成电路,华虹公司(华虹宏力),A+H上市,688347.SH/01347.HK,上海,"特色工艺晶圆代工全球前列:功率器件/嵌入式存储/NOR闪存/模拟电源管理平台,2025年营收172.9亿元同比增20.2%",http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688347&id=12025390,2026-03
集成电路,北方华创,A股上市,002371.SZ,北京,"半导体设备平台型龙头:刻蚀/薄膜沉积/炉管/清洗/离子注入设备,2025年营收393.5亿元、集成电路设备营收增长超50%","https://guba.eastmoney.com/news,002371,1695368436.html",2026-04
集成电路,中微公司,A股上市,688012.SH,上海,"刻蚀设备龙头:CCP/ICP刻蚀设备进入先进逻辑与存储产线,2025年营收123.85亿元其中刻蚀设备销售98.3亿元","https://guba.eastmoney.com/news,688012,1686803604.html",2026-03
集成电路,寒武纪,A股上市,688256.SH,北京,"国产AI芯片设计:思元系列云端训练/推理芯片,2025年营收约65亿元同比增453%并实现上市后首次年度盈利",https://stock.stockstar.com/RB2026043000047601.shtml,2026-04
集成电路,海光信息,A股上市,688041.SH,天津,"国产高端处理器设计:海光CPU与海光DCU双芯布局服务器与AI算力,2025年营收143.77亿元同比增56.9%",https://www.jiemian.com/article/14042571.html,2026-02
集成电路,澜起科技,A股上市,688008.SH,上海,"内存接口及互连芯片全球龙头:DDR5 RCD/MRCD/CKD及PCIe Retimer,2025年营收54.6亿元同比增49.9%",https://wallstreetcn.com/articles/3770993,2026-04
集成电路,长电科技,A股上市,600584.SH,江苏无锡,"封装测试全球第三/大陆第一:2.5D/3D先进封装服务高性能计算与存储,2025年营收388.7亿元、先进封装收入270亿元创新高","https://guba.eastmoney.com/news,600584,1696867085.html",2026-04
集成电路,沪硅产业,A股上市,688126.SH,上海,"半导体材料:300mm大硅片(抛光片/外延片)国产主力供应商,2025年营收37.16亿元、300mm硅片销量同比增27%",https://stock.10jqka.com.cn/20260417/c676060602.shtml,2026-04
集成电路,摩尔线程,A股上市,688795.SH,北京,"国产全功能GPU设计:基于自研MUSA架构的AI智算与图形GPU,2025年12月5日科创板上市为""国产GPU第一股""",https://finance.sina.com.cn/roll/2025-12-05/doc-infztinh8520469.shtml,2025-12
集成电路,长鑫科技,A股上市,688825.SH,安徽合肥,"国产DRAM存储器龙头:DRAM设计制造一体化(IDM),2026年7月27日科创板上市、开盘市值超3万亿元",https://finance.caixin.com/2026-07-27/102468332.html,2026-07
集成电路,长江存储(长存集团),独角兽(科创板IPO辅导中),2026-05启动IPO辅导/胡润2025独角兽估值1600亿元,湖北武汉,"国内唯一3D NAND闪存原厂:Xtacking架构NAND,2026年5月启动科创板IPO辅导、全球NAND份额约8%",https://finance.ifeng.com/c/8tYgBzQiuNP,2026-05
具身智能,杭州宇树科技股份有限公司,A股,688836(上交所科创板 2026年8月IPO),浙江杭州,人形及四足机器人整机龙头(A股"人形机器人第一股") 2026年8月以150.8元/股发行、募资约61亿元,https://www.163.com/dy/article/L3OJGKAU0556JUDB.html,2026-08
具身智能,深圳市优必选科技股份有限公司,港股,9880.HK,广东深圳,工业人形机器人整机(Walker S系列)批量进入汽车/3C工厂 2025年Walker系列订单总额达11亿元并于当年11月开启Walker S2量产交付,https://www.leaderobot.com/news/6757,2025-11
具身智能,上海智元新创技术有限公司(智元机器人),独角兽,B4轮(2025年 估值约150亿元),上海,人形机器人整机(远征/灵犀系列)与具身大模型 2025年四轮融资至B4轮并以21亿元控股A股上纬新材,https://view.inews.qq.com/a/20260104A06ANF00,2026-01
具身智能,北京银河通用机器人有限公司,独角兽,新一轮融资25亿元(2026年初 估值超200亿元),北京,具身大模型与轮式双臂机器人整机 累计融资额居中国具身智能领域首位、为人形机器人领域估值最高的未上市企业,https://m.caixin.com/m/2026-03-02/102418619.html,2026-03
