赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话),来源URL,来源日期
国产大飞机,中国商飞,未上市(央企),—,上海,C919大型客机主制造商(2025年交付15架 2026年目标28架以上) 另运营C909并研制C929宽体机,https://www.ithome.com/0/916/655.htm,2026-01
国产大飞机,中航西飞,A股,000768,西安,C919最大机体结构供应商 承担外翼翼盒/襟翼/缝翼等工作包 2025年部件交付量大幅增加,https://companies.caixin.com/2025-05-18/102320861.html,2025-05
国产大飞机,洪都航空,A股,600316,南昌,通过参股洪都商飞承担C919前机身和中后机身装配制造 配套份额约占机体结构25%,https://stock.stockstar.com/RB2026052400000352.shtml,2026-05
国产大飞机,中航沈飞,A股,600760,沈阳,旗下沈飞民机生产C919垂直尾翼和后机身等关键机体部件(装配自动化产线已投产),http://mp.weixin.qq.com/s?__biz=MjM5MzExMzQwMg==&mid=2650360338&idx=1&sn=888f64ac37f69b1f23cae360dfd01cb4,2025-07
国产大飞机,三角防务,A股,300775,西安,C919大型模锻件核心供应商(400MN模锻线) 并在上海临港设子公司承接大飞机零部件部段装配,https://finance.sina.com.cn/roll/2025-04-20/doc-inetvies9571216.shtml,2025-04
国产大飞机,航发动力,A股,600893,西安,承担长江系列(CJ-1000)国产商用发动机部分单元体和零部件配套研制任务,http://m.10jqka.com.cn/20250610/c668786540.shtml,2025-06
国产大飞机,中航光电,A股,002179,洛阳,C919连接器/线缆组件/集成设备架等互连产品配套 并在CJ-1000A上配套控制系统电缆与耐高温连接器,https://www.sohu.com/a/877995660_122362512,2025-04
国产大飞机,西部超导,A股,688122,西安,高端钛合金与高性能高温合金龙头 材料主要用于航空领域(大飞机机体与发动机用钛材主力供应商),https://stock.stockstar.com/SS2026080500021144.shtml,2026-08
国产大飞机,中复神鹰,A股,688295,连云港,碳纤维龙头 T800级碳纤维获商飞PCD预批准并正在国产大飞机开展部件级验证,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688295&id=12018874,2026-03
国产大飞机,博云新材,A股,002297,长沙,与霍尼韦尔合资供应C919机轮刹车系统 自研C919碳刹车盘完成一致性批产放行试验,https://static.cninfo.com.cn/finalpage/2026-04-10/1225089551.PDF,2026-04
