赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话、具体到什么产品/环节),来源URL,来源日期
集成电路,中芯国际,A+H上市,688981.SH/00981.HK,上海,"大陆晶圆代工龙头:覆盖先进制程与成熟制程代工,2025年营收93.27亿美元创历史新高、晶圆出货量同比增20.9%",https://wallstreetcn.com/articles/3768471,2026-03
集成电路,华虹公司(华虹宏力),A+H上市,688347.SH/01347.HK,上海,"特色工艺晶圆代工全球前列:功率器件/嵌入式存储/NOR闪存/模拟电源管理平台,2025年营收172.9亿元同比增20.2%",http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688347&id=12025390,2026-03
集成电路,北方华创,A股上市,002371.SZ,北京,"半导体设备平台型龙头:刻蚀/薄膜沉积/炉管/清洗/离子注入设备,2025年营收393.5亿元、集成电路设备营收增长超50%","https://guba.eastmoney.com/news,002371,1695368436.html",2026-04
集成电路,中微公司,A股上市,688012.SH,上海,"刻蚀设备龙头:CCP/ICP刻蚀设备进入先进逻辑与存储产线,2025年营收123.85亿元其中刻蚀设备销售98.3亿元","https://guba.eastmoney.com/news,688012,1686803604.html",2026-03
集成电路,寒武纪,A股上市,688256.SH,北京,"国产AI芯片设计:思元系列云端训练/推理芯片,2025年营收约65亿元同比增453%并实现上市后首次年度盈利",https://stock.stockstar.com/RB2026043000047601.shtml,2026-04
集成电路,海光信息,A股上市,688041.SH,天津,"国产高端处理器设计:海光CPU与海光DCU双芯布局服务器与AI算力,2025年营收143.77亿元同比增56.9%",https://www.jiemian.com/article/14042571.html,2026-02
集成电路,澜起科技,A股上市,688008.SH,上海,"内存接口及互连芯片全球龙头:DDR5 RCD/MRCD/CKD及PCIe Retimer,2025年营收54.6亿元同比增49.9%",https://wallstreetcn.com/articles/3770993,2026-04
集成电路,长电科技,A股上市,600584.SH,江苏无锡,"封装测试全球第三/大陆第一:2.5D/3D先进封装服务高性能计算与存储,2025年营收388.7亿元、先进封装收入270亿元创新高","https://guba.eastmoney.com/news,600584,1696867085.html",2026-04
集成电路,沪硅产业,A股上市,688126.SH,上海,"半导体材料:300mm大硅片(抛光片/外延片)国产主力供应商,2025年营收37.16亿元、300mm硅片销量同比增27%",https://stock.10jqka.com.cn/20260417/c676060602.shtml,2026-04
集成电路,摩尔线程,A股上市,688795.SH,北京,"国产全功能GPU设计:基于自研MUSA架构的AI智算与图形GPU,2025年12月5日科创板上市为""国产GPU第一股""",https://finance.sina.com.cn/roll/2025-12-05/doc-infztinh8520469.shtml,2025-12
集成电路,长鑫科技,A股上市,688825.SH,安徽合肥,"国产DRAM存储器龙头:DRAM设计制造一体化(IDM),2026年7月27日科创板上市、开盘市值超3万亿元",https://finance.caixin.com/2026-07-27/102468332.html,2026-07
集成电路,长江存储(长存集团),独角兽(科创板IPO辅导中),2026-05启动IPO辅导/胡润2025独角兽估值1600亿元,湖北武汉,"国内唯一3D NAND闪存原厂:Xtacking架构NAND,2026年5月启动科创板IPO辅导、全球NAND份额约8%",https://finance.ifeng.com/c/8tYgBzQiuNP,2026-05
